Country,League,Season,HomePPG,AwayPPG,DeltaPPG,GoalDiffMean,n,Delta_mean,Delta_CI_low,Delta_CI_high
Germany,Bundesliga,24-25,1.408496732026144,1.3398692810457515,0.06862745098039216,0.12745098039215685,306,0.06862745098039216,-0.2236876975038318,0.36094259946461615
Italy,Serie A,17-18,1.513157894736842,1.268421052631579,0.24473684210526317,0.23421052631578948,380,0.24473684210526317,-0.021990992469822307,0.5114646766803487
Italy,Serie A,18-19,1.5947368421052632,1.1210526315789473,0.47368421052631576,0.2868421052631579,380,0.47368421052631576,0.22183913880900202,0.7255292822436294
Italy,Serie A,19-20,1.4710526315789474,1.305263157894737,0.16578947368421051,0.20526315789473684,380,0.16578947368421051,-0.10065216958581782,0.4322311169542389
Italy,Serie A,20-21,1.4789473684210526,1.2657894736842106,0.2131578947368421,0.2,380,0.2131578947368421,-0.04743539412739972,0.4737511836010839
Italy,Serie A,21-22,1.4263157894736842,1.3157894736842106,0.11052631578947368,0.1394736842105263,380,0.11052631578947368,-0.1502535479842957,0.3713061795632431
Italy,Serie A,22-23,1.5342105263157895,1.2026315789473685,0.33157894736842103,0.2631578947368421,380,0.33157894736842103,0.07365254468024601,0.5895053500565961
Italy,Serie A,23-24,1.55,1.1552631578947368,0.39473684210526316,0.2578947368421053,380,0.39473684210526316,0.14342247656260831,0.646051207647918
Italy,Serie A,24-25,1.4763157894736842,1.2394736842105263,0.23684210526315788,0.11842105263157894,380,0.23684210526315788,-0.018388301273675606,0.49207251179999134
Spain,La Liga,17-18,1.6394736842105264,1.1342105263157896,0.5052631578947369,0.4,380,0.5052631578947369,0.24367998634362492,0.7668463294458487
Spain,La Liga,18-19,1.6157894736842104,1.0947368421052632,0.5210526315789473,0.31842105263157894,380,0.5210526315789473,0.2711284637710597,0.7709767993868349
Spain,La Liga,19-20,1.65,1.0736842105263158,0.5763157894736842,0.39473684210526316,380,0.5763157894736842,0.3252152864579699,0.8274162924893986
Spain,La Liga,20-21,1.5342105263157895,1.1789473684210525,0.35526315789473684,0.22894736842105262,380,0.35526315789473684,0.10191418204270897,0.6086121337467647
Spain,La Liga,21-22,1.5947368421052632,1.1131578947368421,0.48157894736842105,0.3394736842105263,380,0.48157894736842105,0.23133064087577254,0.7318272538610695
Spain,La Liga,22-23,1.6710526315789473,1.0947368421052632,0.5763157894736842,0.3973684210526316,380,0.5763157894736842,0.31763251371999923,0.8349990652273692
Spain,La Liga,23-24,1.6,1.118421052631579,0.48157894736842105,0.3236842105263158,380,0.48157894736842105,0.22940716358320717,0.7337507311536349
Spain,La Liga,24-25,1.5894736842105264,1.1552631578947368,0.4342105263157895,0.2868421052631579,380,0.4342105263157895,0.17643329849293482,0.6919877541386441
